Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2020-01-02,67.83251953125,67.83251953125,66.73277402795259,66.82793093236997,27278000
2020-01-03,67.47766876220703,68.08379778892568,66.77390994004057,66.80761528460377,23408000
2020-01-06,69.2762222290039,69.30149556378939,66.95629344220531,66.98751077493854,46768000
2020-01-07,69.14239501953125,69.55821012407621,68.96645724727993,69.40754568235849,34330000
2020-01-08,69.634521484375,69.97202855087728,69.01947667777338,69.12801132752558,35314000
2020-01-09,70.36554718017578,70.80613648268411,69.8907534284605,70.47160139102655,33200000
2020-01-10,70.82003784179688,71.1164134845268,70.35615638175,70.84531874235175,26258000
2020-01-13,71.36865997314453,71.44051730380278,70.64210083819175,71.1317546271615,30730000
2020-01-14,70.90080261230469,71.49750880179123,70.76103550256398,71.36716436377095,26076000
2020-01-15,71.32752990722656,71.40583792168397,70.95384451597616,71.02124763841545,21550000
2020-01-16,71.87071228027344,71.89747539401914,71.3671740127522,71.63727803469492,26080000
2020-01-17,73.3258056640625,73.3768514456116,72.18740154979925,72.48426869061286,52424000
2020-01-21,73.46110534667969,73.83925246721381,72.86439154992613,73.30002755955512,48930000
2020-01-22,73.5413818359375,74.36954091002987,73.48142006681404,73.83181338382326,28458000
2020-01-23,73.58203887939453,74.01867318733109,73.36546106331161,73.72378735471344,26650000
2020-01-24,72.66416931152344,74.05334797496889,72.51597775102503,73.98495419699645,29786000
2020-01-27,70.95731353759766,71.19768245755475,70.35118456784836,70.94789842652807,34132000
2020-01-28,71.8875503540039,72.10065700330917,70.88939752782218,71.45339660181743,29724000
2020-01-29,72.19483184814453,72.56356386926777,71.63430381972567,72.2820558505161,21566000
2020-01-30,72.07341766357422,72.1229736667599,71.11937574477422,71.27301221062503,27110000
2020-01-31,71.00934600830078,72.83763191582841,70.72585665176216,72.74792746502517,43822000
2020-02-03,73.47843933105469,73.66181843513121,72.19036163551479,72.44014561867483,71636000
2020-02-04,71.63529968261719,72.7221589274787,70.47657553792322,72.08531174137013,95880000
2020-02-05,71.6670150756836,72.58537028746804,70.85571232176258,72.53729650429216,36376000
2020-02-06,73.14986419677734,73.42691043576079,71.88656813376596,71.96090591264428,37822000
2020-02-07,73.30548095703125,73.60978185657574,72.6265040449633,72.72463293664772,28360000
2020-02-10,74.76998901367188,74.78089390340634,73.11169710268464,73.21230643210724,38302000
2020-02-11,74.83938598632812,75.82168077098233,74.61091262722508,74.99847489323436,34852000
