Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,151.82952880859375,151.93350926772743,149.66486306224806,150.09023242281285,22622100
2020-01-03,149.9390411376953,151.19625463787472,149.40969112155793,149.65547107455467,21116200
2020-01-06,150.32656860351562,150.3927445508696,147.94447970171677,148.48329153461876,20813700
2020-01-07,148.9558868408203,150.93150084251536,148.71012143982094,150.60066446698147,21634100
2020-01-08,151.3285369873047,151.99968621410528,149.30565620651117,150.23201839712107,27746500
2020-01-09,153.21910095214844,153.34199090041147,152.21711516271918,152.98278300469048,21385000
2020-01-10,152.51014709472656,154.28726267501992,152.35890014667973,153.90915972860566,20725900
2020-01-13,154.34396362304688,154.3723206204449,152.43451073060453,152.90714658550698,21626500
2020-01-14,153.2569122314453,154.6464628468558,152.86934735532085,154.44794943449625,23477400
2020-01-15,154.24945068359375,154.96786650736908,153.67284871260028,153.72010076525626,21417900
2020-01-16,157.07582092285156,157.14199687545099,155.0529397493098,155.35543366341506,23865400
2020-01-17,157.95494079589844,158.30468678450072,156.37632402467744,158.2574203045993,34371700
2020-01-21,157.38775634765625,158.98526801417273,157.32158039758605,157.55789835006,29517200
2020-01-22,156.63153076171875,158.3235753219564,156.61262128751815,158.2384898999051,24138800
2020-01-23,157.59571838378906,157.6713418599453,156.22507713475247,157.09472547499433,19680800
2020-01-24,156.00762939453125,158.36136103516702,155.44992257333556,158.34245156321265,24918100
2020-01-27,153.39869689941406,154.4385015834786,151.4325299482661,152.3305352170298,32078100
2020-01-28,156.40472412109375,156.68829420507248,154.14552443525076,154.81665953227673,24899900
2020-01-29,158.84344482421875,159.5145940552649,156.62206505752158,158.65439337526382,34754500
2020-01-30,163.32400512695312,164.52450394494198,161.44290968960823,164.52450394494198,51597500
2020-01-31,160.91360473632812,162.9648426873359,160.29918387299614,162.7852531721158,36142700
2020-02-03,164.83651733398438,164.94994534557068,161.07432481438784,161.1026818172844,30107000
2020-02-04,170.26234436035156,170.75388971293165,166.6608612717509,167.44543856138947,36433300
2020-02-05,170.05435180664062,174.11902249336677,168.6459063808411,173.958328055295,39186300
2020-02-06,173.5802459716797,173.75984990152529,170.20561909708994,171.06581980124434,27751400
2020-02-07,173.82603454589844,175.47081270658518,172.4931978169128,172.8429581987189,33529100
2020-02-10,178.37277221679688,178.50510968178952,173.22104418313037,173.53298558426346,35844300
2020-02-11,174.34593200683594,180.2633282452073,173.45737421261373,180.21606177076302,53159900
2020-02-12,174.60116577148438,175.6787750789202,171.89768776529226,175.42354764661337,47062900
2020-02-13,173.65589904785156,176.03797374039397,172.86185972663358,173.06037316286404,35295800
2020-02-14,175.2061004638672,175.26281445325165,172.65385555196474,173.22102429320978,23149500
2020-02-18,176.98324584960938,177.42752477655208,175.34792957469273,175.4519100559709,27792200
2020-02-19,177.5140380859375,178.36710062256168,176.74627891035584,178.25336280783833,29997500
2020-02-20,174.80322265625,177.48565105394613,171.6563550822755,177.20129197806145,36862400
2020-02-21,169.2771759033203,173.93114068656777,168.00705551331956,173.61834725384844,48572600
2020-02-24,161.97869873046875,165.4478463263177,154.71813679067944,159.02140017038658,68311100
2020-02-25,159.30577087402344,165.72272971041576,158.90765961105674,165.11610394922226,68073300
2020-02-26,161.2962646484375,164.22512915124068,159.43847946980046,160.86026003967774,56206100
2020-02-27,149.93148803710938,158.31999888346724,149.74192019388477,154.80346983288783,93174900
2020-02-28,153.56178283691406,155.17314580344524,144.0737718821789,144.46239539589996,97012700
2020-03-02,163.77964782714844,163.90287344639816,153.8461442900306,156.68970562212584,71030800
2020-03-03,155.931396484375,165.8743863348176,153.79872580292735,164.7369648639986,71677000
2020-03-04,161.6564178466797,161.79859008690633,156.98349255557616,159.70384194438486,49814400
2020-03-05,157.599609375,161.95972690449452,157.0498525958926,157.39108044281798,47817300
2020-03-06,153.14471435546875,154.60440254772644,147.86516281770332,154.13047574382352,72821100
2020-03-09,142.76571655273438,149.5239179145605,142.17805189974058,143.12590557907217,70419300
2020-03-10,152.52859497070312,152.6328594420787,144.62349965654747,149.91252432041284,65354400
2020-03-11,145.61874389648438,149.4765002813039,143.26805670517658,148.93623128461837,56371600
2020-03-12,131.8085479736328,145.46712479186598,131.3535821963336,137.72316093092766,93226400
2020-03-13,150.54762268066406,153.4670141569079,133.39146289991785,139.8084372561925,92727400
2020-03-16,128.3583526611328,141.56196287538836,127.9602558230332,132.6995245572196,87905900
2020-03-17,138.92691040039062,139.8084073143908,127.96023720300174,132.69950524755737,81059800
2020-03-18,133.0786590576172,138.38664577676045,127.97921578102556,130.80381587118453,81593200
2020-03-19,135.26820373535156,142.3202228977112,131.7516602526152,135.32507264150863,85922700
2020-03-20,130.18771362304688,139.4292873501573,128.77540638008531,138.38664247775617,84866200
2020-03-23,128.88912963867188,133.23978869379377,125.60956425248216,129.86541769841315,78975200
2020-03-24,140.60464477539062,141.79894995189665,133.9033251888628,136.25399882324018,82516700
2020-03-25,139.2586669921875,146.28226653788022,136.90799381312664,141.14490110421414,75638200
2020-03-26,147.9694366455078,148.4907590553709,140.63304405067825,140.66147850366175,64568100
2020-03-27,141.8937225341797,146.81308647128938,141.41979559554642,143.83682587519655,57042300
2020-03-30,151.87460327148438,152.22531899610644,142.1875367282903,144.4908288761412,63420300
2020-03-31,149.48597717285156,156.1872936874246,148.39593700408997,151.08783738874433,77927200
2020-04-01,144.1780242919922,149.5239184853041,142.9552994047509,145.02161349129338,57969900
2020-04-02,147.16375732421875,147.37228629111345,142.5192800719628,143.94106059364518,49630700
2020-04-03,145.80833435058594,149.17321783075897,144.25385488302902,147.01211258227983,41243300
2020-04-06,156.65176391601562,157.8176197600713,149.3627676322206,151.95989162657898,67111700
2020-04-07,154.96458435058594,161.13510584413748,154.74656761748417,160.74648241184053,62769000
2020-04-08,156.51905822753906,157.97874630175247,154.97405234356808,157.03089277059914,48318200
2020-04-09,156.52857971191406,158.64228968699842,154.81296660681633,157.6849625327283,51385100
2020-04-13,156.87925720214844,156.936140571891,153.83665499194112,155.77975792648093,41905300
2020-04-14,164.6421661376953,164.6895617099437,159.2394035526362,160.1872571452114,52874300
2020-04-15,162.91709899902344,164.5189740701982,160.4147658031758,162.2725509605704,40940800
2020-04-16,167.80801391601562,168.0355040124014,163.883900147735,165.21090401533556,50479600
2020-04-17,169.2866973876953,170.6136869453631,166.6990460555909,170.13976003718153,52765600
2020-04-20,165.93125915527344,169.42884146949478,165.86491691998498,167.4193963415168,36669600
2020-04-21,159.06883239746094,164.6137684753668,157.4479960281646,164.4526350641902,56203700
2020-04-22,164.47161865234375,164.92658449092568,161.91241592355348,162.45268514503766,34620200
2020-04-23,162.4810791015625,165.93126598218663,161.99767892251862,165.0308078621168,32790800
2020-04-24,165.4478759765625,165.45734930740483,161.8081210252355,163.08771491777517,34277600
2020-04-27,164.9739227294922,167.67529682402676,164.26303252623075,167.38146452077441,33194400
2020-04-28,160.9550323486328,166.50945553550488,160.55693553548355,166.43362550493845,34392700
2020-04-29,168.17767333984375,168.41463676243595,162.9170969287767,164.18721740272696,51286600
