Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2024-09-18,534.8727416992188,541.0869894169668,530.8459213153205,533.9977707656788,10323500
2024-09-19,555.9017333984375,558.8547755441265,543.393738974814,546.8538127706381,15647000
2024-09-20,558.1387939453125,561.2707987619654,553.1176944195414,556.7965408444652,22066800
2024-09-23,561.1812133789062,570.6964745858071,559.1926545649918,566.2421222621582,12830700
2024-09-24,560.1075439453125,564.5022427843289,551.0198138385321,563.4383563302257,12993000
2024-09-25,565.0588989257812,573.5798802972372,560.4951299755024,560.8232591553777,16543400
2024-09-26,564.5917358398438,574.0970460697704,559.1330900425771,572.436555499505,14400800
2024-09-27,564.1144409179688,567.5745750797583,561.2807684246667,566.8387572234752,9398400
2024-09-30,569.1654663085938,571.3926430971433,561.5691549372068,564.452590303178,12792300
2024-10-01,573.1723022460938,579.7047261626475,566.8387463764593,574.6736740742251,15259300
2024-10-02,569.5332641601562,572.705018338464,566.0831432657689,571.5715250916941,6524700
2024-10-03,579.436279296875,580.0228702133212,565.4765563823341,566.8884769556879,11581000
2024-10-04,592.5309448242188,593.4357124935896,578.1039391514795,580.3907699305325,14169500
2024-10-07,581.4347534179688,599.5007936445444,580.698935664524,594.7978106805275,12014200
2024-10-08,589.4984130859375,590.1645633879729,582.6179549512773,586.3167064096679,7857400
2024-10-09,587.1320190429688,590.9898285010107,578.2829068901802,590.5920924118491,9529700
2024-10-10,580.4902954101562,586.8536486528583,579.1877915177303,584.2088915296315,7740400
2024-10-11,586.5751953125,587.8279971754954,579.3766215385939,581.4844891955055,8587100
2024-10-14,587.0425415039062,596.6671607014488,586.5852117292404,590.8207918278077,8252000
2024-10-15,582.9163208007812,587.2314602827565,576.821381994876,586.7840223253323,9564200
2024-10-16,573.4905395507812,578.7503177573541,570.7463786831075,578.0742148752304,11268400
2024-10-17,573.6297607421875,581.6237474143095,571.9096763385753,579.9931748825336,8701200
2024-10-18,573.1723022460938,580.6293988605148,571.9593103260983,577.7758214109436,7694300
2024-10-21,571.8697509765625,573.9378692579733,565.8543723443174,572.7348299431258,8171900
2024-10-22,578.6806640625,580.1919884331684,568.8472245196812,571.0047942012734,8544500
2024-10-23,560.4653930664062,581.6534860008076,559.2821980776996,576.6522311713827,14248400
2024-10-24,564.5320434570312,565.6257266322763,558.3078440792799,563.885737507838,7184700
2024-10-25,569.9706420898438,577.964626282837,568.4493655425151,570.6467447711022,11337900
2024-10-28,574.8527221679688,580.4107723688168,570.8358540442795,578.67078290133,10925100
2024-10-29,589.88623046875,590.2739533915471,572.1085063582906,576.8313344603039,13019100
2024-10-30,588.4146118164062,597.7608636426235,586.0084723536592,597.5420905900066,26864900
2024-10-31,564.3331298828125,586.525453807229,559.7892656536117,581.6534603775302,26838400
2024-11-01,563.9156494140625,570.3884199876283,559.341987056596,564.3630874174274,15303200
2024-11-04,557.47265625,565.4368452329544,554.6986381254013,560.87307535209,12064600
2024-11-05,569.1554565429688,570.1994379718212,563.4283964137084,564.0547974082218,9775400
2024-11-06,568.777587890625,569.7221655728422,551.9941447200907,559.5308004818795,18305400
2024-11-07,588.3152465820312,591.3974890420855,571.9195858236583,573.5899682554951,14653700
2024-11-08,585.9686889648438,589.7071287920577,581.1762546419226,588.156055247851,9415700
2024-11-11,579.8340454101562,583.6421534545929,573.2121696554306,583.0057999151439,10209100
2024-11-12,581.474609375,596.2296848177605,577.0600054748132,585.1733003985561,16287700
2024-11-13,576.68212890625,582.2898800347385,571.8797417717248,579.2771839216865,10757600
2024-11-14,573.8583374023438,577.4377800631241,569.7321138322568,573.6992793820006,11053700
2024-11-15,550.910400390625,569.2946185704093,548.3451422976771,567.9523048385856,17712900
2024-11-18,551.2285766601562,556.6971138862053,546.9432344613651,553.8534284072965,14327300
2024-11-19,557.8804321289062,558.2184532479198,547.4503869397267,548.7031890906989,9522400
2024-11-20,562.284912109375,563.1101203268514,551.0296618909093,559.7097017322158,9797300
2024-11-21,559.868896484375,566.7393414481576,545.9091728138703,566.2621066854078,11154700
2024-11-22,555.9414672851562,560.6046406773982,551.4175075908335,560.32621328156,9164000
2024-11-25,561.8773803710938,569.3146337097819,553.2072906140769,558.884588798054,13599800
2024-11-26,570.2590942382812,574.1964632618979,561.9668364413141,562.7622479761632,10356600
2024-11-27,565.9439697265625,571.6908743519631,560.8731072719025,571.601423170664,7200200
2024-11-29,571.0346069335938,575.1509386081322,563.6570700717043,565.7450327371056,7130500
2024-12-02,589.4387817382812,591.0992116485587,572.2775064388576,574.196458750282,12522400
2024-12-03,610.1397094726562,610.6865511232141,587.8678218422003,591.5963703951107,14907200
2024-12-04,610.2689208984375,614.2460390304662,601.6385211482492,609.4536043990507,14697000
